index,best,m0,m1,m2,m3
201,3,False,False,False,True
202,1,False,True,False,False
203,3,False,False,False,True
204,3,False,False,False,True
205,2,False,False,True,False
206,1,False,True,False,False
207,1,False,True,False,False
208,1,False,True,False,False
209,1,False,True,False,False
210,1,False,True,False,False
211,2,False,False,True,False
212,3,False,False,False,True
213,1,False,True,False,False
214,1,False,False,False,False
215,2,False,False,True,False
216,3,False,False,False,False
217,1,False,True,False,False
218,1,False,True,False,False
219,1,False,True,False,False
220,1,False,True,False,False
221,1,False,True,False,False
222,2,False,False,True,False
223,1,False,True,False,False
224,1,False,True,False,False
225,1,False,True,False,False
226,3,False,False,False,True
227,3,False,False,False,True
228,1,False,True,False,False
229,2,False,False,True,False
230,1,False,True,False,False
231,1,False,True,False,False
232,1,False,True,False,False
233,1,False,True,False,False
234,1,False,True,False,False
235,1,False,True,False,False
236,1,False,True,False,False
237,3,False,False,False,True
238,3,False,False,False,True
239,1,False,True,False,False
240,3,False,False,False,True
241,1,False,True,False,False
242,1,False,True,False,False
243,1,False,True,False,False
244,3,False,False,False,True
245,1,False,True,False,False
246,1,False,True,False,False
247,1,False,False,False,False
248,3,False,False,False,True
249,2,False,False,True,False
250,2,False,False,True,False
251,1,False,True,False,False
252,1,False,True,False,False
253,2,False,False,True,False
254,3,False,False,False,True
255,1,False,True,False,False
256,1,False,True,False,False
257,2,False,False,True,False
258,3,False,False,False,True
259,1,False,True,False,False
260,2,False,False,True,False
261,2,False,False,True,False
262,1,False,True,False,False
263,1,False,True,False,False
264,3,False,False,False,True
265,2,False,False,True,False
266,3,False,False,False,True
267,1,False,True,False,False
268,2,False,False,True,False
269,3,False,False,False,True
270,1,False,True,False,False
271,1,False,True,False,False
272,2,False,False,True,False
273,1,False,True,False,False
274,1,False,True,False,False
275,1,False,True,False,False
276,1,False,True,False,False
277,1,False,True,False,False
278,2,False,False,True,False
279,1,False,True,False,False
280,1,False,True,False,False
281,3,False,False,False,True
282,1,False,True,False,False
283,3,False,False,False,True
284,1,False,True,False,False
285,2,False,False,True,False
286,1,False,True,False,False
287,1,False,True,False,False
288,2,False,False,True,False
289,3,False,False,False,True
290,1,False,True,False,False
291,1,False,True,False,False
292,2,False,False,True,False
293,2,False,False,True,False
294,2,False,False,True,False
295,1,False,True,False,False
296,1,False,True,False,False
297,3,False,False,False,True
298,3,False,False,False,True
299,3,False,False,False,True
300,1,False,True,False,False
301,1,False,True,False,False
302,1,False,True,False,False
303,1,False,True,False,False
304,3,False,False,False,True
305,1,False,True,False,False
306,1,False,True,False,False
307,1,False,True,False,False
308,1,False,True,False,False
309,1,False,True,False,False
310,1,False,True,False,False
311,3,False,False,False,True
312,1,False,True,False,False
313,1,False,True,False,False
314,3,False,False,False,True
315,1,False,True,False,False
316,2,False,False,True,False
317,1,False,True,False,False
318,1,False,True,False,False
319,3,False,False,False,True
320,1,False,True,False,False
321,1,False,True,False,False
322,1,False,True,False,False
323,1,False,True,False,False
324,1,False,True,False,False
325,1,False,True,False,False
326,3,False,False,False,True
327,1,False,True,False,False
328,2,False,False,True,False
329,3,False,False,False,True
330,1,False,True,False,False
331,1,False,True,False,False
332,1,False,True,False,False
333,1,False,True,False,False
334,1,False,True,False,False
335,2,False,False,True,False
336,1,False,True,False,False
337,3,False,False,False,True
338,1,False,True,False,False
339,2,False,False,True,False
340,1,False,True,False,False
341,1,False,True,False,False
342,3,False,False,False,True
343,1,False,True,False,False
344,1,False,True,False,False
345,1,False,True,False,False
346,3,False,False,False,True
347,3,False,False,False,True
348,1,False,True,False,False
349,2,False,False,True,False
350,1,False,True,False,False
351,1,False,True,False,False
352,1,False,True,False,False
353,3,False,False,False,True
354,3,False,False,False,True
355,1,False,True,False,False
356,1,False,True,False,False
357,1,False,True,False,False
358,1,False,True,False,False
359,3,False,False,False,True
360,3,False,False,False,True
361,1,False,True,False,False
362,1,False,True,False,False
363,1,False,True,False,False
364,3,False,False,False,True
365,1,False,True,False,False
366,1,False,True,False,False
367,3,False,False,False,True
368,3,False,False,False,True
369,1,False,True,False,False
370,3,False,False,False,True
371,1,False,True,False,False
372,1,False,False,False,False
373,1,False,True,False,False
374,3,False,False,False,True
375,1,False,True,False,False
376,3,False,False,False,True
377,1,False,True,False,False
378,3,False,False,False,True
379,3,False,False,False,True
380,2,False,False,True,False
381,1,False,True,False,False
382,1,False,True,False,False
383,1,False,True,False,False
384,1,False,True,False,False
385,1,False,True,False,False
386,1,False,True,False,False
387,2,False,False,True,False
388,1,False,True,False,False
389,3,False,False,False,True
390,1,False,True,False,False
391,3,False,False,False,True
392,2,False,False,True,False
393,2,False,False,True,False
394,2,False,False,True,False
395,1,False,True,False,False
396,1,False,True,False,False
397,1,False,True,False,False
398,3,False,False,False,True
399,1,False,True,False,False
400,3,False,False,False,True
401,1,False,True,False,False
402,3,False,False,False,True
403,1,False,True,False,False
404,2,False,False,True,False
405,2,False,False,True,False
406,2,False,False,True,False
407,1,False,True,False,False
408,3,False,False,False,True
409,1,False,True,False,False
410,3,False,False,False,True
411,1,False,True,False,False
412,2,False,False,True,False
413,3,False,False,False,True
414,1,False,True,False,False
415,1,False,True,False,False
416,1,False,True,False,False
417,1,False,True,False,False
418,1,False,True,False,False
419,1,False,True,False,False
420,1,False,True,False,False
421,1,False,True,False,False
422,1,False,True,False,False
423,2,False,False,True,False
424,3,False,False,False,True
425,3,False,False,False,True
426,1,False,True,False,False
427,1,False,True,False,False
428,1,False,True,False,False
429,1,False,True,False,False
430,3,False,False,False,True
431,1,False,True,False,False
432,3,False,False,False,True
433,3,False,False,False,True
434,1,False,True,False,False
435,1,False,True,False,False
436,3,False,False,False,True
437,2,False,False,True,False
438,3,False,False,False,True
439,1,False,True,False,False
440,1,False,True,False,False
441,1,False,True,False,False
442,1,False,True,False,False
443,1,False,True,False,False
444,1,False,True,False,False
445,1,False,True,False,False
446,1,False,True,False,False
447,1,False,True,False,False
448,2,False,False,True,False
449,2,False,False,True,False
450,3,False,False,False,True
451,3,False,False,False,True
452,3,False,False,False,True
453,1,False,True,False,False
454,3,False,False,False,True
455,1,False,True,False,False
456,1,False,True,False,False
457,1,False,True,False,False
458,1,False,True,False,False
459,2,False,False,True,False
460,2,False,False,True,False
461,3,False,False,False,True
462,1,False,True,False,False
463,1,False,True,False,False
464,2,False,False,True,False
465,1,False,True,False,False
466,3,False,False,False,True
467,1,False,True,False,False
468,1,False,True,False,False
469,1,False,True,False,False
470,3,False,False,False,True
471,3,False,False,False,True
472,1,False,True,False,False
473,1,False,True,False,False
474,2,False,False,True,False
475,1,False,True,False,False
476,1,False,True,False,False
477,2,False,False,True,False
478,1,False,True,False,False
479,1,False,True,False,False
480,3,False,False,False,True
481,1,False,True,False,False
482,3,False,False,False,True
483,1,False,True,False,False
484,1,False,True,False,False
485,1,False,True,False,False
486,1,False,True,False,False
487,1,False,True,False,False
488,1,False,True,False,False
489,3,False,False,False,True
490,3,False,False,False,True
491,1,False,True,False,False
492,1,False,True,False,False
493,2,False,False,True,False
494,1,False,True,False,False
495,1,False,True,False,False
496,3,False,False,False,True
497,3,False,False,False,True
498,1,False,True,False,False
499,3,False,False,False,True
500,1,False,True,False,False
501,1,False,True,False,False
502,1,False,True,False,False
503,1,False,True,False,False
504,1,False,True,False,False
505,1,False,True,False,False
506,1,False,True,False,False
507,3,False,False,False,True
508,1,False,True,False,False
509,1,False,True,False,False
510,1,False,True,False,False
511,1,False,True,False,False
512,3,False,False,False,True
513,1,False,True,False,False
514,3,False,False,False,True
515,1,False,True,False,False
516,2,False,False,True,False
517,1,False,True,False,False
518,3,False,False,False,True
519,1,False,True,False,False
520,3,False,False,False,True
521,1,False,True,False,False
522,3,False,False,False,True
523,2,False,False,True,False
524,3,False,False,False,True
525,1,False,True,False,False
526,3,False,False,False,True
527,1,False,True,False,False
528,1,False,True,False,False
529,1,False,True,False,False
530,1,False,True,False,False
531,3,False,False,False,True
532,1,False,True,False,False
533,2,False,False,True,False
534,1,False,True,False,False
535,1,False,True,False,False
536,3,False,False,False,True
537,1,False,True,False,False
538,2,False,False,True,False
539,1,False,True,False,False
540,2,False,False,True,False
541,1,False,True,False,False
542,2,False,False,True,False
543,1,False,True,False,False
544,1,False,True,False,False
545,1,False,True,False,False
546,1,False,True,False,False
547,3,False,False,False,True
548,1,False,True,False,False
549,1,False,False,False,False
550,1,False,True,False,False
551,1,False,True,False,False
552,1,False,True,False,False
553,2,False,False,True,False
554,2,False,False,True,False
555,3,False,False,False,True
556,1,False,True,False,False
557,3,False,False,False,True
558,1,False,True,False,False
559,1,False,True,False,False
560,1,False,True,False,False
561,1,False,True,False,False
562,1,False,True,False,False
563,3,False,False,False,True
564,1,False,True,False,False
565,3,False,False,False,True
566,1,False,True,False,False
567,1,False,True,False,False
568,2,False,False,True,False
569,2,False,False,True,False
570,1,False,True,False,False
571,1,False,True,False,False
572,3,False,False,False,True
573,3,False,False,False,True
574,1,False,True,False,False
575,2,False,False,True,False
576,2,False,False,True,False
577,1,False,True,False,False
578,1,False,True,False,False
579,1,False,True,False,False
580,1,False,True,False,False
581,1,False,True,False,False
582,2,False,False,True,False
583,1,False,True,False,False
584,1,False,True,False,False
585,1,False,True,False,False
586,3,False,False,False,True
587,1,False,True,False,False
588,1,False,True,False,False
589,3,False,False,False,True
590,1,False,True,False,False
591,1,False,True,False,False
592,3,False,False,False,True
593,1,False,True,False,False
594,3,False,False,False,True
595,1,False,True,False,False
596,3,False,False,False,True
597,1,False,True,False,False
598,3,False,False,False,True
599,1,False,True,False,False
600,1,False,True,False,False
601,1,False,True,False,False
602,2,False,False,True,False
603,1,False,True,False,False
604,3,False,False,False,True
605,1,False,True,False,False
606,3,False,False,False,False
607,2,False,False,True,False
608,3,False,False,False,True
609,1,False,True,False,False
610,1,False,True,False,False
611,3,False,False,False,True
612,1,False,True,False,False
613,3,False,False,False,True
614,3,False,False,False,True
615,2,False,False,True,False
616,2,False,False,True,False
617,1,False,True,False,False
618,1,False,True,False,False
619,3,False,False,False,True
620,3,False,False,False,True
621,1,False,True,False,False
622,3,False,False,False,True
623,2,False,False,True,False
624,2,False,False,True,False
625,1,False,True,False,False
626,3,False,False,False,True
627,1,False,True,False,False
628,1,False,True,False,False
629,3,False,False,False,True
630,1,False,True,False,False
631,1,False,True,False,False
632,1,False,True,False,False
633,3,False,False,False,True
634,1,False,True,False,False
635,3,False,False,False,True
636,3,False,False,False,True
637,1,False,True,False,False
638,2,False,False,True,False
639,1,False,True,False,False
640,2,False,False,True,False
641,1,False,True,False,False
642,1,False,True,False,False
643,1,False,True,False,False
644,3,False,False,False,True
645,1,False,True,False,False
646,3,False,False,False,True
647,2,False,False,True,False
648,3,False,False,False,True
649,1,False,True,False,False
650,1,False,True,False,False
651,3,False,False,False,True
652,3,False,False,False,True
653,1,False,True,False,False
654,3,False,False,False,True
655,1,False,True,False,False
656,1,False,True,False,False
657,2,False,False,True,False
658,1,False,True,False,False
659,1,False,True,False,False
660,1,False,True,False,False
661,1,False,True,False,False
662,2,False,False,True,False
663,1,False,True,False,False
664,1,False,True,False,False
665,3,False,False,False,True
666,2,False,False,True,False
667,3,False,False,False,True
668,2,False,False,True,False
669,3,False,False,False,True
670,1,False,True,False,False
671,1,False,True,False,False
672,1,False,True,False,False
673,3,False,False,False,True
674,3,False,False,False,True
675,1,False,True,False,False
676,2,False,False,True,False
677,3,False,False,False,True
678,3,False,False,False,True
679,2,False,False,True,False
680,1,False,True,False,False
681,3,False,False,False,True
682,1,False,True,False,False
683,1,False,True,False,False
684,1,False,True,False,False
685,1,False,True,False,False
686,1,False,True,False,False
687,3,False,False,False,True
688,1,False,True,False,False
689,1,False,True,False,False
690,1,False,True,False,False
691,2,False,False,True,False
692,3,False,False,False,True
693,1,False,True,False,False
694,1,False,True,False,False
695,1,False,True,False,False
696,3,False,False,False,True
697,3,False,False,False,True
698,2,False,False,True,False
699,1,False,True,False,False
700,3,False,False,False,True
701,2,False,False,True,False
702,1,False,True,False,False
703,1,False,True,False,False
704,1,False,True,False,False
705,3,False,False,False,True
706,1,False,True,False,False
707,1,False,True,False,False
708,3,False,False,False,True
709,2,False,False,True,False
710,2,False,False,True,False
711,3,False,False,False,True
712,1,False,True,False,False
713,3,False,False,False,True
714,1,False,True,False,False
715,3,False,False,False,True
716,3,False,False,False,True
717,1,False,True,False,False
718,1,False,True,False,False
719,1,False,True,False,False
720,1,False,True,False,False
721,3,False,False,False,True
722,1,False,True,False,False
723,1,False,True,False,False
724,1,False,True,False,False
725,1,False,True,False,False
726,2,False,False,True,False
727,3,False,False,False,True
728,1,False,True,False,False
729,2,False,False,True,False
730,3,False,False,False,True
731,3,False,False,False,True
732,3,False,False,False,True
733,1,False,True,False,False
734,3,False,False,False,True
735,2,False,False,True,False
736,1,False,True,False,False
737,1,False,True,False,False
738,2,False,False,True,False
739,1,False,True,False,False
740,2,False,False,True,False
741,1,False,True,False,False
742,1,False,True,False,False
743,1,False,True,False,False
744,1,False,True,False,False
745,3,False,False,False,True
746,2,False,False,True,False
747,3,False,False,False,True
748,1,False,True,False,False
749,1,False,True,False,False
750,3,False,False,False,True
751,1,False,True,False,False
752,3,False,False,False,True
753,3,False,False,False,True
754,1,False,True,False,False
755,1,False,True,False,False
756,3,False,False,False,True
757,3,False,False,False,True
758,1,False,True,False,False
759,2,False,False,True,False
760,3,False,False,False,True
761,3,False,False,False,True
762,1,False,True,False,False
763,1,False,True,False,False
764,1,False,True,False,False
765,1,False,True,False,False
766,2,False,False,True,False
767,1,False,True,False,False
768,1,False,True,False,False
769,3,False,False,False,True
770,1,False,True,False,False
771,1,False,True,False,False
772,1,False,True,False,False
773,3,False,False,False,True
774,1,False,True,False,False
775,3,False,False,False,True
776,3,False,False,False,True
777,3,False,False,False,True
778,2,False,False,True,False
779,1,False,True,False,False
780,1,False,True,False,False
781,3,False,False,False,True
782,1,False,True,False,False
783,1,False,True,False,False
784,3,False,False,False,True
785,1,False,True,False,False
786,3,False,False,False,True
787,2,False,False,True,False
788,2,False,False,True,False
789,3,False,False,False,True
790,3,False,False,False,True
791,3,False,False,False,True
792,3,False,False,False,True
793,1,False,True,False,False
794,2,False,False,True,False
795,1,False,True,False,False
796,3,False,False,False,True
797,3,False,False,False,True
798,3,False,False,False,True
799,1,False,True,False,False
800,1,False,True,False,False
801,3,False,False,False,True
802,1,False,True,False,False
803,3,False,False,False,True
804,1,False,False,False,False
805,2,False,False,True,False
806,3,False,False,False,True
807,2,False,False,True,False
808,0,True,False,False,False
809,3,False,False,False,True
810,2,False,False,True,False
811,1,False,True,False,False
812,1,False,True,False,False
813,1,False,True,False,False
814,3,False,False,False,True
815,1,False,True,False,False
816,1,False,True,False,False
817,1,False,True,False,False
818,1,False,True,False,False
819,1,False,True,False,False
820,3,False,False,False,True
821,1,False,True,False,False
822,1,False,True,False,False
823,3,False,False,False,True
824,1,False,True,False,False
825,3,False,False,False,False
826,2,False,False,True,False
827,3,False,False,False,True
828,1,False,True,False,False
829,3,False,False,False,True
830,1,False,True,False,False
831,3,False,False,False,True
832,3,False,False,False,True
833,1,False,True,False,False
834,3,False,False,False,True
835,1,False,True,False,False
836,1,False,True,False,False
837,2,False,False,True,False
838,2,False,False,True,False
839,3,False,False,False,True
840,1,False,True,False,False
841,2,False,False,True,False
842,1,False,True,False,False
843,3,False,False,False,True
844,1,False,True,False,False
845,3,False,False,False,True
846,3,False,False,False,True
847,1,False,False,False,False
848,3,False,False,False,True
849,2,False,False,True,False
850,1,False,True,False,False
851,1,False,False,False,False
852,3,False,False,False,True
853,1,False,True,False,False
854,1,False,True,False,False
855,1,False,True,False,False
856,3,False,False,False,True
857,3,False,False,False,True
858,2,False,False,True,False
859,1,False,True,False,False
860,3,False,False,False,True
861,1,False,True,False,False
862,1,False,True,False,False
863,1,False,True,False,False
864,1,False,True,False,False
865,1,False,True,False,False
866,1,False,True,False,False
867,1,False,True,False,False
868,1,False,True,False,False
869,1,False,True,False,False
870,3,False,False,False,True
871,1,False,True,False,False
872,1,False,True,False,False
873,3,False,False,False,True
874,2,False,False,True,False
875,3,False,False,False,True
876,3,False,False,False,True
877,3,False,False,False,True
878,2,False,False,True,False
879,1,False,True,False,False
880,3,False,False,False,True
881,3,False,False,False,True
882,1,False,True,False,False
883,1,False,True,False,False
884,3,False,False,False,True
885,2,False,False,False,False
886,2,False,False,False,False
887,3,False,False,False,True
888,2,False,False,True,False
889,3,False,False,False,True
890,1,False,True,False,False
891,3,False,False,False,True
892,1,False,True,False,False
893,3,False,False,False,True
894,3,False,False,False,True
895,3,False,False,False,True
896,1,False,True,False,False
897,1,False,True,False,False
898,3,False,False,False,True
899,1,False,True,False,False
900,1,False,True,False,False
901,3,False,False,False,True
902,3,False,False,False,True
903,2,False,False,True,False
904,3,False,False,False,True
905,2,False,False,True,False
906,1,False,True,False,False
907,3,False,False,False,True
908,1,False,True,False,False
909,1,False,True,False,False
910,2,False,False,True,False
911,3,False,False,False,True
912,1,False,True,False,False
913,3,False,False,False,True
914,2,False,False,True,False
915,1,False,True,False,False
916,3,False,False,False,True
917,1,False,True,False,False
918,1,False,True,False,False
919,3,False,False,False,True
920,2,False,False,True,False
921,1,False,True,False,False
922,1,False,True,False,False
923,3,False,False,False,True
924,3,False,False,False,True
925,3,False,False,False,True
926,3,False,False,False,True
927,1,False,True,False,False
928,3,False,False,False,True
929,1,False,True,False,False
930,1,False,True,False,False
931,2,False,False,True,False
932,1,False,True,False,False
933,1,False,True,False,False
934,3,False,False,False,True
935,2,False,False,True,False
936,1,False,True,False,False
937,3,False,False,False,True
938,3,False,False,False,True
939,3,False,False,False,True
940,1,False,True,False,False
941,1,False,True,False,False
942,3,False,False,False,True
943,1,False,True,False,False
944,1,False,True,False,False
945,3,False,False,False,True
946,2,False,False,True,False
947,1,False,True,False,False
948,1,False,True,False,False
949,1,False,True,False,False
950,2,False,False,True,False
951,2,False,False,True,False
952,1,False,True,False,False
953,3,False,False,False,True
954,3,False,False,False,True
955,1,False,True,False,False
956,1,False,False,False,False
957,1,False,True,False,False
958,1,False,True,False,False
959,1,False,True,False,False
960,3,False,False,False,True
961,1,False,True,False,False
962,1,False,True,False,False
963,1,False,True,False,False
964,3,False,False,False,True
965,3,False,False,False,True
966,3,False,False,False,True
967,2,False,False,True,False
968,1,False,True,False,False
969,2,False,False,True,False
970,3,False,False,False,True
971,2,False,False,True,False
972,1,False,True,False,False
973,3,False,False,False,True
974,1,False,True,False,False
975,1,False,True,False,False
976,1,False,True,False,False
977,3,False,False,False,True
978,3,False,False,False,True
979,1,False,True,False,False
980,1,False,True,False,False
981,1,False,True,False,False
982,3,False,False,False,True
983,1,False,True,False,False
984,3,False,False,False,True
985,3,False,False,False,True
986,3,False,False,False,True
987,1,False,False,False,False
988,3,False,False,False,True
989,1,False,True,False,False
990,2,False,False,True,False
991,1,False,True,False,False
992,1,False,True,False,False
993,2,False,False,True,False
994,1,False,True,False,False
995,3,False,False,False,True
996,1,False,True,False,False
997,3,False,False,False,True
998,3,False,False,False,True
999,1,False,True,False,False
1000,1,False,True,False,False
1001,1,False,True,False,False
1002,3,False,False,False,True
1003,3,False,False,False,True
1004,1,False,True,False,False
1005,2,False,False,True,False
1006,1,False,True,False,False
1007,1,False,True,False,False
1008,2,False,False,True,False
1009,2,False,False,True,False
1010,2,False,False,True,False
1011,1,False,True,False,False
1012,3,False,False,False,True
1013,3,False,False,False,True
1014,1,False,True,False,False
1015,2,False,False,True,False
1016,1,False,True,False,False
1017,1,False,True,False,False
1018,1,False,True,False,False
1019,1,False,True,False,False
1020,2,False,False,True,False
1021,3,False,False,False,True
1022,1,False,True,False,False
1023,1,False,True,False,False
1024,1,False,True,False,False
1025,1,False,True,False,False
1026,1,False,True,False,False
1027,1,False,True,False,False
1028,1,False,True,False,False
1029,2,False,False,True,False
1030,1,False,False,False,False
1031,1,False,True,False,False
1032,1,False,True,False,False
1033,3,False,False,False,True
1034,2,False,False,True,False
1035,0,True,False,False,False
1036,3,False,False,False,True
1037,3,False,False,False,True
1038,1,False,True,False,False
1039,1,False,True,False,False
1040,2,False,False,True,False
1041,3,False,False,False,True
1042,1,False,True,False,False
1043,1,False,True,False,False
1044,2,False,False,True,False
1045,3,False,False,False,True
1046,3,False,False,False,False
1047,3,False,False,False,True
1048,2,False,False,True,False
1049,1,False,True,False,False
1050,1,False,True,False,False
1051,1,False,True,False,False
1052,1,False,True,False,False
1053,2,False,False,True,False
1054,1,False,True,False,False
1055,1,False,True,False,False
1056,3,False,False,False,True
1057,1,False,True,False,False
1058,1,False,True,False,False
1059,1,False,True,False,False
1060,3,False,False,False,True
1061,3,False,False,False,True
1062,2,False,False,True,False
1063,3,False,False,False,True
1064,2,False,False,True,False
1065,1,False,True,False,False
1066,3,False,False,False,True
1067,1,False,True,False,False
1068,1,False,True,False,False
1069,1,False,True,False,False
1070,1,False,True,False,False
1071,1,False,True,False,False
1072,1,False,True,False,False
1073,3,False,False,False,True
1074,1,False,True,False,False
1075,1,False,True,False,False
1076,2,False,False,True,False
1077,1,False,True,False,False
1078,1,False,True,False,False
1079,2,False,False,True,False
1080,2,False,False,True,False
1081,1,False,True,False,False
1082,3,False,False,False,True
1083,1,False,True,False,False
1084,2,False,False,True,False
1085,2,False,False,True,False
1086,3,False,False,False,True
1087,1,False,True,False,False
1088,1,False,True,False,False
1089,2,False,False,True,False
1090,3,False,False,False,True
1091,3,False,False,False,True
1092,3,False,False,False,True
1093,1,False,True,False,False
1094,1,False,True,False,False
1095,1,False,True,False,False
1096,1,False,False,False,False
1097,1,False,True,False,False
1098,1,False,True,False,False
1099,1,False,True,False,False
1100,1,False,True,False,False
1101,1,False,True,False,False
1102,1,False,True,False,False
1103,2,False,False,True,False
1104,3,False,False,False,True
1105,1,False,True,False,False
1106,2,False,False,True,False
1107,2,False,False,True,False
1108,3,False,False,False,True
1109,1,False,True,False,False
1110,3,False,False,False,True
1111,3,False,False,False,True
1112,3,False,False,False,True
1113,1,False,True,False,False
1114,3,False,False,False,True
1115,1,False,True,False,False
1116,3,False,False,False,True
1117,2,False,False,True,False
1118,3,False,False,False,True
1119,3,False,False,False,True
1120,1,False,True,False,False
1121,1,False,True,False,False
1122,2,False,False,True,False
1123,1,False,True,False,False
1124,3,False,False,False,True
1125,1,False,True,False,False
1126,1,False,True,False,False
1127,1,False,True,False,False
1128,1,False,True,False,False
1129,2,False,False,True,False
1130,3,False,False,False,True
1131,3,False,False,False,True
1132,3,False,False,False,True
1133,1,False,True,False,False
1134,1,False,True,False,False
1135,1,False,True,False,False
1136,1,False,True,False,False
1137,3,False,False,False,True
1138,1,False,True,False,False
1139,1,False,True,False,False
1140,1,False,True,False,False
1141,3,False,False,False,True
1142,1,False,True,False,False
1143,1,False,True,False,False
1144,1,False,True,False,False
1145,1,False,True,False,False
1146,3,False,False,False,True
1147,3,False,False,False,True
1148,1,False,True,False,False
1149,1,False,True,False,False
1150,1,False,True,False,False
